"","Utilidad_Total_Opcion.1.","Utilidad_Total_Opcion.2.","Utilidad_Total_Opcion.3."
"644",1238,579.50593445565,634.14897773631
"645",1349,1249.33538696803,670.892738697768
"646",1154.37642461218,1448,1600
"647",689.538754381691,1249.9997390218,461.531978775529
"648",1259,1208.38778756211,1434.79747819249
"649",734.922354184029,1487,907.885585085168
"650",1289,1478,994.868141403578
"651",874.714427836417,905.989070715385,1256.13444456588
"652",1355,710.645903911693,728.98846609392
"653",1289,1448,749.402109425947
"654",991.676060628929,1499,1606
"655",1325,1012.4398357275,1414.64448678882
"656",1274,1348.63886106107,1353.461451267
"657",1174.74237090532,1490,1585
"658",1235,1538,1495
"659",1427,1445,1194.16301463315
"660",1322,1478,1525
"661",1253,266.196906117301,199.797050976906
"662",604.728162572017,617.653487259036,1630
"663",1174.79327619661,1349.67737476254,1033.21301016412
"664",890.774641362817,344.146117877053,1255.18209087183
"665",914.116946940608,724.098802053058,1275.0479760071
"666",706.218968122033,1493,1546
"667",1409,1499,1093.06678435772
"668",608.70022324534,1085.81346069904,841.800789305719
"669",1247,1460,780.947386805795
"670",1012.49878094529,1436,1234.82715478837
"671",1280,1247.78179558764,694.436586706789
"672",523.225066955516,1502,1495
"673",732.186437009306,844.65296664864,1274.31966319404
"674",408.915256329419,1288.67369767892,1648
"675",1286,128.440935759751,1434.38511886802
"676",1307,1493,1454.57146551754
"677",876.634513666776,1389.79685545198,1618
"678",1289,1469,281.236074844293
"679",1379,1457,478.347853157667
"680",1343,535.100739844355,1531
"681",729.694502299606,1499,1516
"682",1033.59956188369,1445,1501
"683",1235,1409.7746649756,937.24564195107
